combination_id,replication,arrival_rate,num_doctors,num_nurses,simulation_time,warm_up_period,entities_processed,throughput,system_time_avg,Consultation_queue_time,Consultation_service_time,Pharmacy_queue_time,Pharmacy_service_time,Triage_queue_time,Triage_service_time,nursesT_utilization,nursesT_avg_queue,nursesT_max_queue,doctors_utilization,doctors_avg_queue,doctors_max_queue,nurses_utilization,nurses_avg_queue,nurses_max_queue,pharmacy_utilization,pharmacy_avg_queue,pharmacy_max_queue
6,1,3,5,2,2400,420,491,0.24797979797979797,21.084543641708624,2.6253498117694702,10.082111861361401,1.2487434296401188,5.211989240886616,2.542369787718223,2.4957993402489724,0.6164251613060459,0.9314439393533931,14,0.5626612969262926,0.16653755417370172,5,0.6902919944114018,0.3463067586446673,6,0.5499612219667991,0.3033119716765135,14
6,2,3,5,2,2400,420,520,0.26262626262626265,20.487737701424624,3.2081300069627874,9.900391239250748,0.8621828365514128,4.777829609097513,2.7142045556063565,2.5293547632259776,0.6619171828289333,1.06044292750368,14,0.5759737364461915,0.2953338150852804,7,0.7018615105450029,0.4936442292350366,8,0.5145552741989955,0.16890496197769575,6
6,3,3,5,2,2400,420,483,0.24393939393939393,18.92585592572988,1.8584233250794073,10.084464034665485,1.068693438174482,4.784325972174221,1.8346146680161903,2.4911421735062915,0.6124839496184532,0.7027694152361242,16,0.5381982714789437,0.05691772837754485,3,0.6660425089063167,0.2115832875743675,4,0.49172239158457287,0.26560954107186935,10
6,4,3,5,2,2400,420,473,0.2388888888888889,19.00021792393701,1.723827192966169,9.912100997420275,1.1983573666614353,5.111476246346306,1.7242362077351072,2.492604824635886,0.5981065948656136,0.5457270206611775,12,0.5192099828309994,0.09394262385756076,5,0.6543149323263004,0.20783775820265565,6,0.5017323744951738,0.2848467400359733,12
7,0,3,5,3,2400,420,530,0.2676767676767677,21.535836858926523,4.249178058512607,10.039481547825812,1.0260498500362154,4.649696820471234,2.60057433321842,2.5021283260951055,0.6623932060785368,0.9206812232084055,14,0.5952467253652542,0.4897105655933129,9,0.720918814479714,0.7079410236151887,10,0.5287310937257027,0.2516795794455314,10
7,1,3,5,3,2400,420,483,0.24393939393939393,19.641215396158795,2.3228895460559946,10.054865238042597,1.3400775055511673,5.282748821501599,1.85711338590426,2.4968653062362702,0.6126101454387877,0.6322553019033232,12,0.5359823122503344,0.172214989639574,6,0.6629795783173237,0.32720550368894064,7,0.5162175069370672,0.31902865040628825,12
7,2,3,5,3,2400,420,505,0.255050505050505,19.212967484103544,1.5770308101629706,10.027081811250419,1.2228665325048516,5.04624119897934,2.2865792744622064,2.5018214715680367,0.6348815173007563,0.8473660903823619,16,0.5392348226028683,0.06274485171803319,4,0.6792618568637147,0.18189857153836025,5,0.5295201257229639,0.2888855094546224,12
7,3,3,5,3,2400,420,462,0.23333333333333334,19.438776868989326,1.593391615698229,9.787958395706832,1.5734182299928614,5.181361301789553,1.8987960307507612,2.5358947966224807,0.5887418899993108,0.5998654180042229,14,0.4970381081761405,0.04088780630829313,3,0.6235173028881017,0.15848833034854942,4,0.5154215842166413,0.39700276963750625,14
7,4,3,5,3,2400,420,492,0.24848484848484848,19.92463750231364,2.3731748591014554,10.155720437377113,1.4753341932074513,4.926075959240864,1.7229381187134556,2.501727029560709,0.6186505290702693,0.5459489075431293,12,0.5515376402964703,0.16942011234491786,5,0.6871820540524133,0.3140245113735587,6,0.5103289474480728,0.37715080934628015,10
8,0,3,5,4,2400,420,505,0.255050505050505,19.270008506260726,1.4984170537680985,9.89653077195133,1.6284367425332866,4.872012043655311,2.4823491225192744,2.51026218522034,0.6407553790913453,0.915007465486964,12,0.5239181144090351,0.049244658930657485,3,0.6624235285148073,0.15764653102237744,4,0.5127516786407061,0.4788186156342606,14
